participant_id,condition,fsm,task,beta,sum_log_p
97,visible_beta,hard,control,0.23,-3.022474552079306
97,visible_beta,hard,control,0.24,-2.9646883820132066
97,visible_beta,hard,control,0.25,-2.912839886334647
97,visible_beta,hard,control,0.26,-2.866571153857248
97,visible_beta,hard,control,0.27,-2.8255400420620216
97,visible_beta,hard,control,0.28,-2.789420421858044
97,visible_beta,hard,control,0.29,-2.7579022477229413
97,visible_beta,hard,control,0.3,-2.730691477835903
97,visible_beta,hard,control,0.31,-2.707509867355732
97,visible_beta,hard,control,0.32,-2.6880946562734027
97,visible_beta,hard,control,0.33,-2.6721981713904546
97,visible_beta,hard,control,0.34,-2.6595873600287194
97,visible_beta,hard,control,0.35,-2.6500432711322865
97,visible_beta,hard,control,0.36,-2.6433604975314915
97,visible_beta,hard,control,0.37,-2.6393465913389402
97,visible_beta,hard,control,0.38,-2.6378214627650136
97,visible_beta,hard,control,0.39,-2.638616771090797
97,visible_beta,hard,control,0.0,-6.931471805599453
97,visible_beta,hard,control,0.01,-6.582223878385154
97,visible_beta,hard,control,0.02,-6.251944849704971
97,visible_beta,hard,control,0.03,-5.94052419090518
97,visible_beta,hard,control,0.04,-5.647779625653367
97,visible_beta,hard,control,0.05,-5.373459968243031
97,visible_beta,hard,control,0.06,-5.117248963679484
97,visible_beta,hard,control,0.07,-4.87877000525106
97,visible_beta,hard,control,0.08,-4.657591582071578
97,visible_beta,hard,control,0.09,-4.453233293610572
97,visible_beta,hard,control,0.1,-4.265172260815495
97,visible_beta,hard,control,0.11,-4.0928497638046135
97,visible_beta,hard,control,0.12,-3.935677943503762
97,visible_beta,hard,control,0.13,-3.7930464178686063
97,visible_beta,hard,control,0.14,-3.6643286810941924
97,visible_beta,hard,control,0.15,-3.548888174986721
97,visible_beta,hard,control,0.16,-3.4460839440113715
97,visible_beta,hard,control,0.17,-3.3552758081222946
97,visible_beta,hard,control,0.18,-3.275829009219583
97,visible_beta,hard,control,0.19,-3.2071183071020006
97,visible_beta,hard,control,0.2,-3.1485315184890714
97,visible_beta,hard,control,0.21,-3.099472507711917
97,visible_beta,hard,control,0.22,-3.059363649874638
97,visible_beta,hard,control,0.23,-3.027647796699909
97,visible_beta,hard,control,0.24,-3.003789782061089
97,visible_beta,hard,control,0.25,-2.987277508628774
97,visible_beta,hard,control,0.26,-2.9776226594375825
97,visible_beta,hard,control,0.27,-2.974361078848292
97,visible_beta,hard,control,0.28,-2.9770528666792515
97,visible_beta,hard,control,0.29,-2.9852822275280997
97,visible_beta,hard,control,0.3,-2.9986571147885672
97,visible_beta,hard,control,0.31,-3.0168087058380837
97,visible_beta,hard,control,0.32,-3.039390741540629
97,visible_beta,hard,control,0.33,-3.0660787597468295
97,visible_beta,hard,control,0.34,-3.0965692490137657
97,visible_beta,hard,control,0.35,-3.1305787454112144
97,visible_beta,hard,control,0.36,-3.1678428921012265
97,visible_beta,hard,control,0.37,-3.208115478422499
97,visible_beta,hard,control,0.38,-3.251167472508145
97,visible_beta,hard,control,0.39,-3.296786059029045
97,visible_beta,hard,control,0.0,-6.931471805599453
97,visible_beta,hard,control,0.01,-6.516669506414353
97,visible_beta,hard,control,0.02,-6.119958345288529
97,visible_beta,hard,control,0.03,-5.741237058138654
97,visible_beta,hard,control,0.04,-5.380338591446301
97,visible_beta,hard,control,0.05,-5.037032622551515
97,visible_beta,hard,control,0.06,-4.711028972299648
97,visible_beta,hard,control,0.07,-4.401981802153504
97,visible_beta,hard,control,0.08,-4.109494467542561
97,visible_beta,hard,control,0.09,-3.8331248855034947
97,visible_beta,hard,control,0.1,-3.572391267851496
97,visible_beta,hard,control,0.11,-3.32677807099922
97,visible_beta,hard,control,0.12,-3.095742019476765
97,visible_beta,hard,control,0.13,-2.8787180712448444
97,visible_beta,hard,control,0.14,-2.6751252078713854
97,visible_beta,hard,control,0.15,-2.4843719503090735
97,visible_beta,hard,control,0.16,-2.3058615201374333
97,visible_beta,hard,control,0.17,-2.138996585595492
97,visible_beta,hard,control,0.18,-1.9831835505757265
97,visible_beta,hard,control,0.19,-1.8378363622267697
97,visible_beta,hard,control,0.2,-1.7023798283857579
97,visible_beta,hard,control,0.21,-1.5762524494018975
97,visible_beta,hard,control,0.22,-1.4589087798746305
97,visible_beta,hard,control,0.23,-1.349821344418414
97,visible_beta,hard,control,0.24,-1.2484821379041564
97,visible_beta,hard,control,0.25,-1.1544037449196811
97,visible_beta,hard,control,0.26,-1.0671201156936356
97,visible_beta,hard,control,0.27,-0.9861870367186345
97,visible_beta,hard,control,0.28,-0.9111823340723783
97,visible_beta,hard,control,0.29,-0.8417058462393785
97,visible_beta,hard,control,0.3,-0.777379201326802
97,visible_beta,hard,control,0.31,-0.7178454311621147
97,visible_beta,hard,control,0.32,-0.6627684520415564
97,visible_beta,hard,control,0.33,-0.6118324390185468
97,visible_beta,hard,control,0.34,-0.5647411177003202
97,visible_beta,hard,control,0.35,-0.5212169946522177
97,visible_beta,hard,control,0.36,-0.4810005447600585
97,visible_beta,hard,control,0.37,-0.44384937131939217
97,visible_beta,hard,control,0.38,-0.4095373522362583
97,visible_beta,hard,control,0.39,-0.37785378355390625
97,visible_beta,hard,control,0.0,-6.931471805599453
97,visible_beta,hard,control,0.01,-6.914082114315633
97,visible_beta,hard,control,0.02,-6.904981849297326
97,visible_beta,hard,control,0.03,-6.904132184157357
97,visible_beta,hard,control,0.04,-6.9114690044773
97,visible_beta,hard,control,0.05,-6.926903783066119
97,visible_beta,hard,control,0.06,-6.950324768209742
97,visible_beta,hard,control,0.07,-6.981598450162065
97,visible_beta,hard,control,0.08,-7.020571264357459
97,visible_beta,hard,control,0.09,-7.06707148506964
97,visible_beta,hard,control,0.1,-7.1209112606073965
97,visible_beta,hard,control,0.11,-7.181888740586433
97,visible_beta,hard,control,0.12,-7.249790247184201
97,visible_beta,hard,control,0.13,-7.324392445306809
97,visible_beta,hard,control,0.14,-7.405464470942118
97,visible_beta,hard,control,0.15,-7.4927699822753
97,visible_beta,hard,control,0.16,-7.586069104033288
97,visible_beta,hard,control,0.17,-7.685120241657588
97,visible_beta,hard,control,0.18,-7.789681747977814
97,visible_beta,hard,control,0.19,-7.8995134308230535
97,visible_beta,hard,control,0.2,-8.014377895277761
97,visible_beta,hard,control,0.21,-8.134041718935558
97,visible_beta,hard,control,0.22,-8.258276462456537
97,visible_beta,hard,control,0.23,-8.386859520967343
97,visible_beta,hard,control,0.24,-8.519574824372912
97,visible_beta,hard,control,0.25,-8.656213396518108
97,visible_beta,hard,control,0.26,-8.79657378440998
97,visible_beta,hard,control,0.27,-8.940462369462525
97,visible_beta,hard,control,0.28,-9.087693573036034
97,visible_beta,hard,control,0.29,-9.238089968492567
97,visible_beta,hard,control,0.3,-9.39148231165434
97,visible_beta,hard,control,0.31,-9.547709501001831
97,visible_beta,hard,control,0.32,-9.706618478245455
97,visible_beta,hard,control,0.33,-9.868064079100495
97,visible_beta,hard,control,0.34,-10.031908843234179
97,visible_beta,hard,control,0.35,-10.198022791470992
97,visible_beta,hard,control,0.36,-10.36628317746607
97,visible_beta,hard,control,0.37,-10.536574220207116
97,visible_beta,hard,control,0.38,-10.708786822897988
97,visible_beta,hard,control,0.39,-10.882818283022733
97,visible_beta,hard,control,0.0,-6.931471805599453
97,visible_beta,hard,control,0.01,-6.686699957679402
97,visible_beta,hard,control,0.02,-6.458202256314768
97,visible_beta,hard,control,0.03,-6.2458970013074175
97,visible_beta,hard,control,0.04,-6.049649273664723
97,visible_beta,hard,control,0.05,-5.869272768394458
97,visible_beta,hard,control,0.06,-5.704532284108308
97,visible_beta,hard,control,0.07,-5.555146797881364
97,visible_beta,hard,control,0.08,-5.420793039737042
97,visible_beta,hard,control,0.09,-5.30110947112505
97,visible_beta,hard,control,0.1,-5.195700566062607
97,visible_beta,hard,control,0.11,-5.1041412921579425
97,visible_beta,hard,control,0.12,-5.025981691217977
97,visible_beta,hard,control,0.13,-4.960751465043684
97,visible_beta,hard,control,0.14,-4.907964480681906
97,visible_beta,hard,control,0.15,-4.867123120101784
97,visible_beta,hard,control,0.16,-4.837722411255917
97,visible_beta,hard,control,0.17,-4.819253890069055
97,visible_beta,hard,control,0.18,-4.811209155448974
97,visible_beta,hard,control,0.19,-4.813083091419302
97,visible_beta,hard,control,0.2,-4.824376741534675
97,visible_beta,hard,control,0.21,-4.844599830577223
97,visible_beta,hard,control,0.22,-4.873272936983122
97,visible_beta,hard,control,0.23,-4.909929326441171
97,visible_beta,hard,control,0.24,-4.954116462653512
97,visible_beta,hard,control,0.25,-5.00539721542625
97,visible_beta,hard,control,0.26,-5.063350789182401
97,visible_beta,hard,control,0.27,-5.127573396807019
97,visible_beta,hard,control,0.28,-5.197678704603682
97,visible_beta,hard,control,0.29,-5.273298074224659
97,visible_beta,hard,control,0.3,-5.354080626890505
97,visible_beta,hard,control,0.31,-5.439693154183023
97,visible_beta,hard,control,0.32,-5.529819898308631
97,visible_beta,hard,control,0.33,-5.624162223099298
97,visible_beta,hard,control,0.34,-5.722438195241149
97,visible_beta,hard,control,0.35,-5.824382093374237
