participant_id,fsm_type,trial_number,trial_type,trial_id,state_1,response_1,state_2,state_3,option_1,option_2,control_correct,response,response_correct,option_1_p,option_2_p,option_1_p_mm,option_2_p_mm,R_i_mm_eps_0.1,option_1_p_mm_an,option_2_p_mm_an,R_i_mm_an_eps_0.1,task,response_2,prediction_correct,explanation_1_decrease,explanation_2_decrease,explanation_correct
5,hard,14,hidden,hard_e_hid_0aa0,0,a,,0.0,,,,2,True,,,0.4,0.0,1.6094379124341003,0.4,0.0,1.6094379124341003,explanation,a,,0.0,0.4,2.0
5,hard,15,hidden,hard_e_hid_1aa0,1,a,,0.0,,,,2,True,,,0.7999999999999999,0.0,2.197224577336219,1.0,0.0,2.3978952727983707,explanation,a,,-0.16,0.24,2.0
5,hard,16,visible,hard_e_vis_1b3a2,1,b,3.0,2.0,,,,2,False,,,0.0,0.2222222222222222,1.1700712526502544,,,,explanation,a,,0.24,0.0,1.0
5,hard,17,hidden,hard_e_hid_3aa3,3,a,,3.0,,,,1,True,,,0.0,0.4,1.6094379124341003,0.0,0.0,0.0,explanation,a,,0.4,0.0,1.0
5,hard,18,visible,hard_e_vis_3a2b1,3,a,2.0,1.0,,,,2,True,,,0.41666666666666663,0.0,1.642227735257091,,,,explanation,b,,0.0,0.36,2.0
5,hard,19,hidden,hard_e_hid_1bb2,1,b,,2.0,,,,2,False,,,0.0,0.19999999999999998,1.0986122886681096,0.0,0.0,0.0,explanation,b,,0.24,0.0,1.0
6,hard,0,hidden,hard_c_hid_12-ab-ba,1,,,2.0,ab,ba,ba,ba,True,0.0,0.24,0.0,0.5714285714285714,1.9042374526547452,0.0,0.5714285714285714,1.9042374526547452,control,,,,,
6,hard,1,hidden,hard_c_hid_31-ba-bb,3,,,1.0,ba,bb,bb,ba,False,0.0,0.36,0.0,0.3428571428571428,1.4880770554298328,0.0,0.5714285714285714,1.9042374526547452,control,,,,,
6,hard,2,hidden,hard_c_hid_13-ab-ba,1,,,3.0,ab,ba,ab,ab,True,0.64,0.0,1.0,0.0,2.3978952727983707,1.0,0.0,2.3978952727983707,control,,,,,
6,hard,3,visible,hard_c_vis_0b3,0,b,3.0,3.0,a,b,b,b,True,0.0,0.4,0.0,0.4,1.6094379124341003,,,,control,,,,,
6,hard,4,visible,hard_c_vis_1a0,1,a,1.0,0.0,a,b,a,b,False,0.4,0.0,0.5,0.0,1.791759469228055,,,,control,,,,,
6,hard,5,hidden,hard_c_hid_23-ba-ab,2,,,3.0,ba,ab,ba,ab,False,0.4,0.0,0.42857142857142855,0.0,1.6650077635889111,0.0,0.0,0.0,control,,,,,
6,hard,6,hidden,hard_c_hid_00-aa-bb,0,,,0.0,aa,bb,aa,aa,True,0.4,0.0,0.42857142857142855,0.0,1.6650077635889111,0.42857142857142855,0.0,1.6650077635889111,control,,,,,
6,hard,7,hidden,hard_c_hid_13-aa-ba,1,,,3.0,aa,ba,aa,ba,False,0.4,0.0,0.5,0.0,1.791759469228055,1.0,0.0,2.3978952727983707,control,,,,,
6,hard,8,visible,hard_c_vis_1b3,1,b,1.0,3.0,a,b,b,a,False,0.0,0.4,0.0,1.0,2.3978952727983707,,,,control,,,,,
6,hard,9,visible,hard_c_vis_2a0,2,a,2.0,0.0,a,b,b,b,True,0.0,0.4,0.0,0.42857142857142855,1.6650077635889111,,,,control,,,,,
6,hard,10,hidden,hard_c_hid_10-aa-bb,1,,,0.0,aa,bb,aa,aa,True,0.24,0.0,0.25,0.0,1.2527629684953678,0.0,0.0,0.0,control,,,,,
6,hard,11,hidden,hard_c_hid_03-aa-ab,0,,,3.0,aa,ab,ab,aa,False,0.0,0.4,0.0,0.4,1.6094379124341003,0.0,0.4,1.6094379124341003,control,,,,,
6,hard,12,visible,hard_c_vis_0a0,0,a,3.0,0.0,a,b,a,a,True,0.4,0.0,0.42857142857142855,0.0,1.6650077635889111,,,,control,,,,,
6,hard,13,hidden,hard_c_hid_33-aa-ba,3,,,3.0,aa,ba,aa,aa,True,0.4,0.0,0.42857142857142855,0.0,1.6650077635889111,0.0,0.0,0.0,control,,,,,
6,hard,14,visible,hard_c_vis_2a2,2,a,2.0,2.0,a,b,a,a,True,1.0,0.0,1.0,0.0,2.3978952727983707,,,,control,,,,,
6,hard,15,hidden,hard_c_hid_21-ba-ab,2,,,1.0,ba,ab,ab,ba,False,0.36,0.6,0.2857142857142857,0.5714285714285714,0.5543107357057296,0.5,0.5714285714285714,0.1124779834266902,control,,,,,
6,hard,16,visible,hard_c_vis_3b1,3,b,2.0,1.0,a,b,b,a,False,0.0,0.6,0.0,0.5714285714285714,1.9042374526547452,,,,control,,,,,
6,hard,17,visible,hard_c_vis_2b0,2,b,1.0,0.0,a,b,a,a,True,0.4,0.0,0.5,0.0,1.791759469228055,,,,control,,,,,
6,hard,18,visible,hard_c_vis_3a2,3,a,2.0,2.0,a,b,a,a,True,1.0,0.0,1.0,0.0,2.3978952727983707,,,,control,,,,,
