participant_id,fsm,task,condition,beta_max,p_correct_r3
54,hard,explanation,hidden_an_mm,0.03,0.5448788923735801
54,hard,explanation,hidden_an_fsm,0.23,0.7989910002494707
55,hard,explanation,visible_mm,0.26,0.826353352980995
55,hard,explanation,visible_fsm,0.12,0.6726070170677604
55,hard,explanation,hidden_mm,0.0,0.5
55,hard,explanation,hidden_fsm,0.0,0.5
55,hard,explanation,hidden_an_mm,0.0,0.5
55,hard,explanation,hidden_an_fsm,0.0,0.5
56,hard,explanation,visible_mm,0.26,0.826353352980995
56,hard,explanation,visible_fsm,0.2,0.7685247834990176
56,hard,explanation,hidden_mm,0.06,0.5890404340586651
56,hard,explanation,hidden_fsm,0.04,0.5597136492671929
56,hard,explanation,hidden_an_mm,0.0,0.5
56,hard,explanation,hidden_an_fsm,0.0,0.5
57,hard,explanation,visible_mm,0.05,0.5744425168116589
57,hard,explanation,visible_fsm,0.05,0.5744425168116589
57,hard,explanation,hidden_mm,0.02,0.5299640517645717
57,hard,explanation,hidden_fsm,0.02,0.5299640517645717
57,hard,explanation,hidden_an_mm,0.07,0.6034832498647262
57,hard,explanation,hidden_an_fsm,0.07,0.6034832498647262
58,hard,explanation,visible_mm,0.0,0.5
58,hard,explanation,visible_fsm,0.0,0.5
58,hard,explanation,hidden_mm,0.0,0.5
58,hard,explanation,hidden_fsm,0.0,0.5
58,hard,explanation,hidden_an_mm,0.25,0.8175744761936437
58,hard,explanation,hidden_an_fsm,0.26,0.826353352980995
59,hard,explanation,visible_mm,0.33,0.8786811621082632
59,hard,explanation,visible_fsm,0.2,0.7685247834990176
59,hard,explanation,hidden_mm,0.18,0.7464939833376623
59,hard,explanation,hidden_fsm,0.11,0.6592603884513853
59,hard,explanation,hidden_an_mm,0.17,0.7349725994665188
59,hard,explanation,hidden_an_fsm,0.19,0.7576796390037048
60,hard,explanation,visible_mm,0.0,0.5
60,hard,explanation,visible_fsm,0.0,0.5
60,hard,explanation,hidden_mm,0.0,0.5
60,hard,explanation,hidden_fsm,0.0,0.5
60,hard,explanation,hidden_an_mm,0.13,0.6856801139382538
60,hard,explanation,hidden_an_fsm,0.12,0.6726070170677604
61,hard,explanation,visible_mm,0.0,0.5
61,hard,explanation,visible_fsm,0.0,0.5
61,hard,explanation,hidden_mm,0.0,0.5
61,hard,explanation,hidden_fsm,0.0,0.5
61,hard,explanation,hidden_an_mm,0.24,0.8084546514385326
61,hard,explanation,hidden_an_fsm,0.26,0.826353352980995
62,hard,explanation,visible_mm,0.07,0.6034832498647262
62,hard,explanation,visible_fsm,0.07,0.6034832498647262
62,hard,explanation,hidden_mm,0.03,0.5448788923735801
62,hard,explanation,hidden_fsm,0.02,0.5299640517645717
62,hard,explanation,hidden_an_mm,0.15,0.710949502625004
62,hard,explanation,hidden_an_fsm,0.15,0.710949502625004
63,hard,control,visible_mm,0.0,0.5
63,hard,control,visible_fsm,0.0,0.5
63,hard,control,hidden_mm,0.0,0.5
63,hard,control,hidden_fsm,0.0,0.5
63,hard,control,hidden_an_mm,0.0,0.5
63,hard,control,hidden_an_fsm,0.0,0.5
64,hard,control,visible_mm,0.05,0.5744425168116589
64,hard,control,visible_fsm,0.06,0.5890404340586651
64,hard,control,hidden_mm,0.07,0.6034832498647262
64,hard,control,hidden_fsm,0.1,0.6456563062257955
64,hard,control,hidden_an_mm,0.08,0.617747874769249
64,hard,control,hidden_an_fsm,0.23,0.7989910002494707
65,hard,control,visible_mm,0.0,0.5
65,hard,control,visible_fsm,0.0,0.5
65,hard,control,hidden_mm,0.18,0.7464939833376623
65,hard,control,hidden_fsm,0.17,0.7349725994665188
65,hard,control,hidden_an_mm,0.03,0.5448788923735801
65,hard,control,hidden_an_fsm,0.19,0.7576796390037048
66,hard,control,visible_mm,0.05,0.5744425168116589
66,hard,control,visible_fsm,0.06,0.5890404340586651
66,hard,control,hidden_mm,0.05,0.5744425168116589
66,hard,control,hidden_fsm,0.0,0.5
66,hard,control,hidden_an_mm,0.06,0.5890404340586651
66,hard,control,hidden_an_fsm,0.0,0.5
67,hard,control,visible_mm,0.12,0.6726070170677604
