participant_id,task,condition,predicted_accuracy,fsm,mm_accuracy,count_nan
72,prediction,hidden_an,0.6899744811276124,hard,0.7142857142857143,3.0
73,prediction,visible,0.5,hard,0.1,0.0
73,prediction,hidden,0.598687660112452,hard,0.5,0.0
73,prediction,hidden_an,0.598687660112452,hard,0.5,2.0
75,prediction,visible,0.5,hard,0.3,0.0
75,prediction,hidden,0.5,hard,0.4,0.0
75,prediction,hidden_an,0.598687660112452,hard,0.625,2.0
76,prediction,visible,0.5,hard,0.3,0.0
76,prediction,hidden,0.5,hard,0.3,0.0
76,prediction,hidden_an,0.5,hard,0.42857142857142855,3.0
77,prediction,visible,0.6899744811276124,hard,0.7,0.0
77,prediction,hidden,0.6899744811276124,hard,0.6,0.0
77,prediction,hidden_an,0.8320183851339245,hard,,5.0
78,prediction,visible,0.5,hard,0.4,0.0
78,prediction,hidden,0.5,hard,0.4,0.0
78,prediction,hidden_an,0.598687660112452,hard,0.5714285714285714,3.0
79,prediction,visible,0.598687660112452,hard,0.6,0.0
79,prediction,hidden,0.6899744811276124,hard,0.6,0.0
79,prediction,hidden_an,0.598687660112452,hard,0.625,2.0
80,control,visible,0.5,easy,0.4,0.0
80,control,hidden,0.5,easy,0.3,0.0
80,control,hidden_an,0.5,easy,0.4,0.0
81,control,visible,0.9168273035060777,easy,0.9,0.0
81,control,hidden,0.5,easy,0.6,0.0
81,control,hidden_an,0.5,easy,0.5,0.0
83,control,visible,0.6899744811276124,easy,0.7,0.0
83,control,hidden,0.5,easy,0.4,0.0
83,control,hidden_an,0.5,easy,0.3,0.0
84,control,visible,0.7685247834990176,easy,0.8,0.0
84,control,hidden,0.598687660112452,easy,0.6,0.0
84,control,hidden_an,0.598687660112452,easy,0.5,2.0
85,control,visible,0.9820137900379085,easy,1.0,0.0
85,control,hidden,0.5,easy,0.6,0.0
85,control,hidden_an,0.598687660112452,easy,0.5,0.0
86,control,visible,0.7685247834990176,easy,0.8,0.0
86,control,hidden,0.7685247834990176,easy,0.8,0.0
86,control,hidden_an,0.598687660112452,easy,0.75,2.0
87,control,visible,0.598687660112452,easy,0.6,0.0
87,control,hidden,0.6899744811276124,easy,0.6,0.0
87,control,hidden_an,0.7685247834990176,easy,0.7,0.0
88,prediction,visible,0.9168273035060777,easy,0.9,0.0
88,prediction,hidden,0.9168273035060777,easy,0.8,0.0
88,prediction,hidden_an,0.973403006423134,easy,,5.0
89,prediction,visible,0.8807970779778824,easy,0.9,0.0
89,prediction,hidden,0.9168273035060777,easy,0.8,0.0
89,prediction,hidden_an,0.9820137900379085,easy,,5.0
90,prediction,visible,0.9820137900379085,easy,0.9,0.0
90,prediction,hidden,0.5,easy,0.5,2.0
90,prediction,hidden_an,0.598687660112452,easy,,6.0
92,prediction,visible,0.6899744811276124,easy,0.6666666666666666,1.0
92,prediction,hidden,0.5,easy,0.375,2.0
92,prediction,hidden_an,0.5,easy,,6.0
94,prediction,visible,0.9820137900379085,easy,1.0,0.0
94,prediction,hidden,0.598687660112452,easy,0.7,0.0
94,prediction,hidden_an,0.5,easy,,5.0
95,prediction,visible,0.7685247834990176,easy,0.8,0.0
95,prediction,hidden,0.5,easy,0.5,0.0
95,prediction,hidden_an,0.5,easy,,5.0
96,prediction,visible,0.598687660112452,easy,0.5,0.0
96,prediction,hidden,0.6899744811276124,easy,0.625,2.0
96,prediction,hidden_an,0.7685247834990176,easy,,6.0
97,prediction,visible,0.5,hard,0.2,0.0
97,prediction,hidden,0.598687660112452,hard,0.4,0.0
97,prediction,hidden_an,0.6899744811276124,hard,0.6666666666666666,4.0
