participant_id,fsm_type,trial_number,trial_type,trial_id,state_1,response_1,state_2,state_3,option_1,option_2,control_correct,response,response_correct,option_1_p,option_2_p,option_1_p_mm,option_2_p_mm,R_i_mm_eps_0.1,response_correct_mm,option_1_p_mm_an,option_2_p_mm_an,R_i_mm_an_eps_0.1,response_correct_mm_an,task,response_2,prediction_correct,explanation_1_decrease,explanation_2_decrease,explanation_correct
5,hard,13,visible,hard_e_vis_3b2a2,3,b,2.0,2.0,,,,1,False,,,0.5078125,0.016865079365079364,1.6488463446785562,0.0,,,,,explanation,a,,0.0,0.6,2.0
5,hard,14,hidden,hard_e_hid_0aa0,0,a,,0.0,,,,2,True,,,0.35598958333333336,0.053323412698412696,1.089920466757268,1.0,0.375,0.03571428571428571,1.2527629684953678,1.0,explanation,a,,0.0,0.4,2.0
5,hard,15,hidden,hard_e_hid_1aa0,1,a,,0.0,,,,2,True,,,0.5784226190476189,0.08291997354497355,1.3107216715147496,1.0,0.75,0.0625,1.65455834771457,1.0,explanation,a,,-0.16,0.24,2.0
5,hard,16,visible,hard_e_vis_1b3a2,1,b,3.0,2.0,,,,2,False,,,0.04513888888888888,0.1951530612244898,0.7098029350144037,0.0,,,,,explanation,a,,0.24,0.0,1.0
5,hard,17,hidden,hard_e_hid_3aa3,3,a,,3.0,,,,1,True,,,0.05937499999999999,0.3465195105820106,1.0302231801614194,1.0,0.020833333333333332,0.027777777777777776,0.055880458394456496,1.0,explanation,a,,0.4,0.0,1.0
5,hard,18,visible,hard_e_vis_3a2b1,3,a,2.0,1.0,,,,2,True,,,0.3541666666666667,0.01128472222222222,1.4063722556564193,1.0,,,,,explanation,b,,0.0,0.36,2.0
5,hard,19,hidden,hard_e_hid_1bb2,1,b,,2.0,,,,2,False,,,0.10276124338624337,0.2599702380952381,0.5739922101842205,0.0,0.0625,0.08333333333333333,0.12062798778861475,0.0,explanation,b,,0.24,0.0,1.0
6,hard,0,hidden,hard_c_hid_12-ab-ba,1,,,2.0,ab,ba,ba,ba,True,0.0,0.24,0.10171130952380952,0.4581811417748918,1.0178460221344814,1.0,0.05,0.53125,1.4370666864933137,1.0,control,,,,,
6,hard,1,hidden,hard_c_hid_31-ba-bb,3,,,1.0,ba,bb,bb,ba,False,0.0,0.36,0.045110705266955264,0.31067708333333327,1.0403102846492416,0.0,0.022727272727272728,0.53125,1.6377373819554648,0.0,control,,,,,
6,hard,2,hidden,hard_c_hid_13-ab-ba,1,,,3.0,ab,ba,ab,ab,True,0.64,0.0,0.6993303571428571,0.13621144480519481,1.2190469671074673,1.0,0.85,0.03125,1.9793580831228532,1.0,control,,,,,
6,hard,3,visible,hard_c_vis_0b3,0,b,3.0,3.0,a,b,b,b,True,0.0,0.4,0.03125,0.375,1.286210902562908,1.0,,,,,control,,,,,
6,hard,4,visible,hard_c_vis_1a0,1,a,1.0,0.0,a,b,a,b,False,0.4,0.0,0.4642857142857143,0.125,0.9194603066354341,0.0,,,,,control,,,,,
6,hard,5,hidden,hard_c_hid_23-ba-ab,2,,,3.0,ba,ab,ba,ab,False,0.4,0.0,0.3761287540584416,0.07116477272727273,1.0230616336197411,0.0,0.03571428571428571,0.03125,0.033447934067540125,0.0,control,,,,,
6,hard,6,hidden,hard_c_hid_00-aa-bb,0,,,0.0,aa,bb,aa,aa,True,0.4,0.0,0.3774970689033189,0.06447916666666667,1.0657741056977243,1.0,0.40625,0.041666666666666664,1.2735537381644417,1.0,control,,,,,
6,hard,7,hidden,hard_c_hid_13-aa-ba,1,,,3.0,aa,ba,aa,ba,False,0.4,0.0,0.424759392393321,0.13621144480519481,0.7982125008727181,0.0,0.875,0.03125,2.005333569526114,0.0,control,,,,,
6,hard,8,visible,hard_c_vis_1b3,1,b,1.0,3.0,a,b,b,a,False,0.0,0.4,0.03571428571428571,0.625,1.6756198193154015,0.0,,,,,control,,,,,
6,hard,9,visible,hard_c_vis_2a0,2,a,2.0,0.0,a,b,b,b,True,0.0,0.4,0.022727272727272728,0.40625,1.4170660197866443,1.0,,,,,control,,,,,
6,hard,10,hidden,hard_c_hid_10-aa-bb,1,,,0.0,aa,bb,aa,aa,True,0.24,0.0,0.25022707946815087,0.09869791666666666,0.5667960779003256,1.0,0.041666666666666664,0.041666666666666664,0.0,,control,,,,,
6,hard,11,hidden,hard_c_hid_03-aa-ab,0,,,3.0,aa,ab,ab,aa,False,0.0,0.4,0.06623714826839827,0.39088541666666665,1.0827953603833251,0.0,0.03125,0.375,1.286210902562908,0.0,control,,,,,
6,hard,12,visible,hard_c_vis_0a0,0,a,3.0,0.0,a,b,a,a,True,0.4,0.0,0.40625,0.041666666666666664,1.2735537381644417,1.0,,,,,control,,,,,
6,hard,13,hidden,hard_c_hid_33-aa-ba,3,,,3.0,aa,ba,aa,aa,True,0.4,0.0,0.3696352475649351,0.061975784632034625,1.064509477916414,1.0,0.022727272727272728,0.022727272727272728,0.0,,control,,,,,
6,hard,14,visible,hard_c_vis_2a2,2,a,2.0,2.0,a,b,a,a,True,1.0,0.0,0.9318181818181818,0.03125,2.061973848639445,1.0,,,,,control,,,,,
6,hard,15,hidden,hard_c_hid_21-ba-ab,2,,,1.0,ba,ab,ab,ba,False,0.36,0.6,0.26526565882034636,0.4999526515151515,0.49622581673538496,0.0,0.4642857142857143,0.53125,0.11214127174971533,0.0,control,,,,,
6,hard,16,visible,hard_c_vis_3b1,3,b,2.0,1.0,a,b,b,a,False,0.0,0.6,0.022727272727272728,0.53125,1.6377373819554648,0.0,,,,,control,,,,,
6,hard,17,visible,hard_c_vis_2b0,2,b,1.0,0.0,a,b,a,a,True,0.4,0.0,0.4642857142857143,0.125,0.9194603066354341,1.0,,,,,control,,,,,
6,hard,18,visible,hard_c_vis_3a2,3,a,2.0,2.0,a,b,a,a,True,1.0,0.0,0.9318181818181818,0.03125,2.061973848639445,1.0,,,,,control,,,,,
6,hard,19,visible,hard_c_vis_2a1,2,a,2.0,1.0,a,b,b,b,True,0.0,0.6,0.022727272727272728,0.53125,1.6377373819554648,1.0,,,,,control,,,,,
7,hard,1,hidden,hard_p_hid_0aa10,0,a,,,1,0,,1,False,0.0,0.4,0.046875,0.338623046875,1.0940584961594761,0.0,0.02777099609375,0.361083984375,1.283340636528076,0.0,prediction,a,0.0,,,
7,hard,2,hidden,hard_p_hid_2ab12,2,a,,,1,2,,2,False,0.6,0.0,0.477783203125,0.05780029296875,1.2978684522205017,0.0,0.52490234375,0.024993896484375,1.609330479542929,0.0,prediction,b,1.0,,,
7,hard,3,hidden,hard_p_hid_3aa03,3,a,,,0,3,,0,False,0.0,0.4,0.0667724609375,0.347412109375,0.9868497407933091,0.0,0.04998779296875,0.04998779296875,0.0,,prediction,a,3.0,,,
7,hard,4,hidden,hard_p_hid_1aa32,1,a,,,3,2,,2,False,0.4,0.0,0.420166015625,0.1129150390625,0.8932548129441572,0.0,0.875,0.041656494140625,1.9290323993858955,0.0,prediction,a,3.0,,,
7,hard,5,visible,hard_p_vis_0b3a21,0,b,3.0,,2,1,,1,False,0.6,0.0,0.5833333333333334,0.027777777777777776,1.6766901394432678,0.0,,,,,prediction,a,2.0,,,
7,hard,6,hidden,hard_p_hid_3ab23,3,a,,,2,3,,3,True,0.0,0.4,0.05157470703125,0.33984375,1.06534093108252,1.0,0.024993896484375,0.024993896484375,0.0,,prediction,b,3.0,,,
7,hard,7,visible,hard_p_vis_0a3b21,0,a,3.0,,2,1,,1,False,0.6,0.0,0.65,0.05,1.6094379124341003,0.0,,,,,prediction,b,2.0,,,
