"participant_id","fsm_number","trial_number","state_current","response_current","state_next","state_1","response_1","state_2","response_2","state_3","response_time","response_time_lessThan300ms","trial_id"
18,22,16,3,"b",2,1,"b",3,"b",2,522.712999904645,0,"3b2"
18,22,17,2,"b",0,3,"b",2,"b",0,204.042999928468,1,"2b0"
18,22,18,0,"b",3,2,"b",0,"b",3,6316.21299999999,0,"0b3"
18,22,19,3,"b",2,0,"b",3,"b",2,1399.84999997617,0,"3b2"
18,22,20,2,"b",0,3,"b",2,"b",0,553.432999904646,0,"2b0"
18,22,21,0,"b",3,2,"b",0,"b",3,678.060999999987,0,"0b3"
18,22,22,3,"b",2,0,"b",3,"b",2,1220.041,0,"3b2"
18,22,23,2,"b",1,3,"b",2,"b",1,511.594000000012,0,"2b1"
18,22,24,1,"b",1,2,"b",1,"b",1,1952.74799997616,0,"1b1"
18,22,25,1,"b",1,1,"b",1,"b",1,629.308999976172,0,"1b1"
18,22,26,1,"b",1,1,"b",1,"b",1,961.497999928484,0,"1b1"
18,22,27,1,"b",3,1,"b",1,"b",3,1381.23899995233,0,"1b3"
18,22,28,3,"b",2,1,"b",3,"b",2,1178.47899999999,0,"3b2"
18,22,29,2,"b",1,3,"b",2,"b",1,1490.95699995232,0,"2b1"
18,22,30,1,"b",1,2,"b",1,"b",1,3092.36399990463,0,"1b1"
18,22,31,1,"b",3,1,"b",1,"b",3,942.054999952321,0,"1b3"
18,22,32,3,"a",2,1,"b",3,"a",2,470.061999976169,0,"3a2"
18,22,33,2,"a",2,3,"a",2,"a",2,302.349999952305,0,"2a2"
18,22,34,2,"a",2,2,"a",2,"a",2,331.245999976149,0,"2a2"
18,22,35,2,"a",2,2,"a",2,"a",2,230.79499990464,1,"2a2"
18,22,36,2,"b",1,2,"a",2,"b",1,299.921999952319,1,"2b1"
18,22,37,1,"b",1,2,"b",1,"b",1,492.936999976169,0,"1b1"
18,22,38,1,"b",3,1,"b",1,"b",3,683.579999976151,0,"1b3"
18,22,39,3,"b",3,1,"b",3,"b",3,580.096999952337,0,"3b3"
18,22,40,3,"b",2,3,"b",3,"b",2,502.545999952301,0,"3b2"
18,22,41,2,"b",0,3,"b",2,"b",0,1224.53399997618,0,"2b0"
18,22,42,0,"b",3,2,"b",0,"b",3,507.194999976142,0,"0b3"
18,22,43,3,"b",3,0,"b",3,"b",3,4879.99299992848,0,"3b3"
18,22,44,3,"b",2,3,"b",3,"b",2,756.76799995231,0,"3b2"
18,22,45,2,"b",1,3,"b",2,"b",1,842.829999952344,0,"2b1"
20,22,1,1,"a",0,NA,NA,NA,NA,NA,22019,0,"1a0"
20,22,2,0,"a",3,1,"a",0,"a",3,8957,0,"0a3"
20,22,3,3,"a",2,0,"a",3,"a",2,11931,0,"3a2"
20,22,4,2,"a",2,3,"a",2,"a",2,4070,0,"2a2"
