"participant_id","state_current","response_current","state_next","state_next_n","state_next_p"
20,0,"a",1,0,0
20,0,"a",2,0,0
20,0,"a",3,5,1
20,0,"b",0,0,0
20,0,"b",1,0,0
20,0,"b",2,0,0
20,0,"b",3,3,1
20,1,"a",0,3,0.5
20,1,"a",1,3,0.5
20,1,"a",2,0,0
20,1,"a",3,0,0
20,1,"b",0,0,0
20,1,"b",1,3,0.6
20,1,"b",2,0,0
20,1,"b",3,2,0.4
20,2,"a",0,0,0
20,2,"a",1,0,0
20,2,"a",2,5,1
20,2,"a",3,0,0
20,2,"b",0,3,0.375
20,2,"b",1,5,0.625
20,2,"b",2,0,0
20,2,"b",3,0,0
20,3,"a",0,2,0.4
20,3,"a",1,0,0
20,3,"a",2,3,0.6
20,3,"a",3,0,0
20,3,"b",0,0,0
20,3,"b",1,0,0
20,3,"b",2,5,0.625
20,3,"b",3,3,0.375
21,0,"a",0,0,0
21,0,"a",1,0,0
21,0,"a",2,11,1
21,0,"a",3,0,0
21,0,"b",0,0,0
21,0,"b",1,0,0
21,0,"b",2,2,1
21,0,"b",3,0,0
21,1,"a",0,4,1
21,1,"a",1,0,0
21,1,"a",2,0,0
21,1,"a",3,0,0
21,1,"b",0,0,0
21,1,"b",1,0,0
21,1,"b",2,0,0
21,1,"b",3,0,0
21,2,"a",0,7,0.583333333333333
21,2,"a",1,0,0
21,2,"a",2,0,0
21,2,"a",3,5,0.416666666666667
21,2,"b",0,0,0
21,2,"b",1,0,0
21,2,"b",2,10,1
21,2,"b",3,0,0
21,3,"a",0,2,0.333333333333333
21,3,"a",1,4,0.666666666666667
21,3,"a",2,0,0
21,3,"a",3,0,0
21,3,"b",0,0,0
21,3,"b",1,0,0
21,3,"b",2,0,0
21,3,"b",3,0,0
22,0,"a",0,0,0
22,0,"a",1,0,0
22,0,"a",2,8,1
22,0,"a",3,0,0
22,0,"b",0,0,0
22,0,"b",1,0,0
22,0,"b",2,5,1
22,0,"b",3,0,0
22,1,"a",0,1,1
22,1,"a",1,0,0
22,1,"a",2,0,0
22,1,"a",3,0,0
22,1,"b",0,2,1
22,1,"b",1,0,0
22,1,"b",2,0,0
22,1,"b",3,0,0
22,2,"a",0,8,0.571428571428571
22,2,"a",1,0,0
22,2,"a",2,0,0
22,2,"a",3,6,0.428571428571429
22,2,"b",0,0,0
22,2,"b",1,0,0
22,2,"b",2,9,1
22,2,"b",3,0,0
22,3,"a",0,2,0.4
22,3,"a",1,3,0.6
22,3,"a",2,0,0
22,3,"a",3,0,0
22,3,"b",0,0,0
22,3,"b",1,0,0
22,3,"b",2,0,0
22,3,"b",3,1,1
23,0,"a",0,0,0
23,0,"a",1,0,0
23,0,"a",2,6,1
23,0,"a",3,0,0
23,0,"b",0,0,0
23,0,"b",1,0,0
23,0,"b",2,5,1
23,0,"b",3,0,0
23,1,"a",0,1,1
23,1,"a",1,0,0
23,1,"a",2,0,0
23,1,"a",3,0,0
23,1,"b",0,1,1
23,1,"b",1,0,0
23,1,"b",2,0,0
23,1,"b",3,0,0
23,2,"a",0,6,0.6
23,2,"a",1,0,0
23,2,"a",2,0,0
23,2,"a",3,4,0.4
23,2,"b",0,0,0
23,2,"b",1,0,0
23,2,"b",2,12,1
23,2,"b",3,0,0
23,3,"a",0,2,0.5
23,3,"a",1,2,0.5
23,3,"a",2,0,0
23,3,"a",3,0,0
23,3,"b",0,0,0
23,3,"b",1,0,0
23,3,"b",2,0,0
23,3,"b",3,6,1
24,0,"a",0,0,0
24,0,"a",1,0,0
24,0,"a",2,4,1
24,0,"a",3,0,0
24,0,"b",0,0,0
24,0,"b",1,0,0
24,0,"b",2,7,1
24,0,"b",3,0,0
24,1,"a",0,1,1
24,1,"a",1,0,0
24,1,"a",2,0,0
24,1,"a",3,0,0
24,1,"b",0,3,1
24,1,"b",1,0,0
24,1,"b",2,0,0
24,1,"b",3,0,0
24,2,"a",0,6,0.545454545454545
24,2,"a",1,0,0
24,2,"a",2,0,0
24,2,"a",3,5,0.454545454545455
24,2,"b",0,0,0
24,2,"b",1,0,0
24,2,"b",2,6,1
24,2,"b",3,0,0
24,3,"a",0,2,0.333333333333333
24,3,"a",1,4,0.666666666666667
24,3,"a",2,0,0
24,3,"a",3,0,0
24,3,"b",0,0,0
24,3,"b",1,0,0
24,3,"b",2,0,0
24,3,"b",3,7,1
25,0,"a",0,0,0
25,0,"a",1,0,0
25,0,"a",2,0,0
25,0,"a",3,1,1
25,0,"b",0,0,0
25,0,"b",1,0,0
25,0,"b",2,0,0
25,0,"b",3,5,1
25,1,"a",0,1,0.5
25,1,"a",1,1,0.5
25,1,"a",2,0,0
25,1,"a",3,0,0
25,1,"b",0,0,0
25,1,"b",1,6,0.6
25,1,"b",2,0,0
25,1,"b",3,4,0.4
25,2,"a",0,0,0
25,2,"a",1,0,0
25,2,"a",2,7,1
25,2,"a",3,0,0
25,2,"b",0,3,0.375
25,2,"b",1,5,0.625
25,2,"b",2,0,0
25,2,"b",3,0,0
25,3,"a",0,2,0.285714285714286
25,3,"a",1,0,0
25,3,"a",2,5,0.714285714285714
25,3,"a",3,0,0
25,3,"b",0,0,0
25,3,"b",1,0,0
25,3,"b",2,3,0.6
25,3,"b",3,2,0.4
26,0,"a",0,0,0
26,0,"a",1,0,0
26,0,"a",2,6,1
26,0,"a",3,0,0
26,0,"b",0,0,0
26,0,"b",1,0,0
26,0,"b",2,6,1
26,0,"b",3,0,0
26,1,"a",0,1,1
26,1,"a",1,0,0
26,1,"a",2,0,0
26,1,"a",3,0,0
26,1,"b",0,1,1
26,1,"b",1,0,0
