participant_id,fsm_number,fsm_type,test_condition,learning_condition,trial_number,trial_type,state_1,response_1,state_2,response_2,state_3,option_1,option_2,correctResponse,response,response_correct,response_time
34,22.0,hard,control,Experiment 1 (no preview),18,hidden,1.0,,,,3.0,aa,ba,aa,aa,1.0,4638.429000000586
34,22.0,hard,control,Experiment 1 (no preview),19,visible,1.0,b,1.0,,3.0,a,b,b,b,1.0,2588.855000000214
34,22.0,hard,control,Experiment 1 (no preview),20,visible,2.0,a,2.0,,0.0,a,b,b,a,0.0,1438.544000000169
35,22.0,hard,control,Experiment 1 (no preview),1,visible,3.0,b,2.0,,1.0,a,b,b,b,1.0,4644.16999990464
35,22.0,hard,control,Experiment 1 (no preview),2,hidden,3.0,,,,1.0,ba,bb,bb,bb,1.0,5883.668999976129
35,22.0,hard,control,Experiment 1 (no preview),3,hidden,0.0,,,,3.0,aa,ab,ab,ab,1.0,4620.967999904649
35,22.0,hard,control,Experiment 1 (no preview),4,visible,1.0,a,1.0,,0.0,a,b,a,b,0.0,3828.5269999046577
35,22.0,hard,control,Experiment 1 (no preview),5,visible,0.0,b,3.0,,3.0,a,b,b,b,1.0,1079.7299999046372
35,22.0,hard,control,Experiment 1 (no preview),6,hidden,2.0,,,,3.0,ba,ab,ba,ab,0.0,1529.9069999284693
35,22.0,hard,control,Experiment 1 (no preview),7,hidden,0.0,,,,0.0,aa,bb,aa,bb,0.0,1115.0689999284805
35,22.0,hard,control,Experiment 1 (no preview),8,visible,2.0,a,2.0,,1.0,a,b,b,b,1.0,2220.658999904641
35,22.0,hard,control,Experiment 1 (no preview),9,visible,2.0,a,2.0,,0.0,a,b,b,b,1.0,1016.6510000000126
35,22.0,hard,control,Experiment 1 (no preview),10,visible,2.0,b,1.0,,0.0,a,b,a,b,0.0,810.6969999046414
35,22.0,hard,control,Experiment 1 (no preview),11,hidden,1.0,,,,3.0,aa,ba,aa,ba,0.0,4969.851999904611
35,22.0,hard,control,Experiment 1 (no preview),12,visible,3.0,a,2.0,,2.0,a,b,a,a,1.0,1977.0909999523428
35,22.0,hard,control,Experiment 1 (no preview),13,visible,1.0,b,1.0,,3.0,a,b,b,a,0.0,2631.0589999761432
35,22.0,hard,control,Experiment 1 (no preview),14,hidden,1.0,,,,3.0,ab,ba,ab,ab,1.0,6324.249999952328
35,22.0,hard,control,Experiment 1 (no preview),15,hidden,1.0,,,,2.0,ab,ba,ba,ba,1.0,1447.3519999761484
35,22.0,hard,control,Experiment 1 (no preview),16,hidden,1.0,,,,0.0,aa,bb,aa,bb,0.0,2673.158999976178
35,22.0,hard,control,Experiment 1 (no preview),17,visible,0.0,a,3.0,,0.0,a,b,a,b,0.0,2904.5139999761595
35,22.0,hard,control,Experiment 1 (no preview),18,hidden,3.0,,,,3.0,aa,ba,aa,ba,0.0,5031.380999952322
35,22.0,hard,control,Experiment 1 (no preview),19,visible,2.0,a,2.0,,2.0,a,b,a,a,1.0,1456.8679999523447
35,22.0,hard,control,Experiment 1 (no preview),20,hidden,2.0,,,,1.0,ba,ab,ab,ab,1.0,3677.843999952311
36,22.0,hard,control,Experiment 1 (no preview),1,hidden,0.0,,,,3.0,aa,ab,ab,aa,0.0,10954.262999999975
36,22.0,hard,control,Experiment 1 (no preview),2,visible,1.0,b,1.0,,3.0,a,b,b,b,1.0,3164.2429999999003
36,22.0,hard,control,Experiment 1 (no preview),3,hidden,3.0,,,,3.0,aa,ba,aa,aa,1.0,10044.432999999904
36,22.0,hard,control,Experiment 1 (no preview),4,visible,2.0,a,2.0,,1.0,a,b,b,b,1.0,5549.065999999992
36,22.0,hard,control,Experiment 1 (no preview),5,hidden,0.0,,,,0.0,aa,bb,aa,bb,0.0,6820.686999999918
36,22.0,hard,control,Experiment 1 (no preview),6,visible,0.0,b,3.0,,3.0,a,b,b,b,1.0,3784.063000000024
36,22.0,hard,control,Experiment 1 (no preview),7,visible,2.0,a,2.0,,0.0,a,b,b,b,1.0,3840.818000000029
36,22.0,hard,control,Experiment 1 (no preview),8,hidden,1.0,,,,3.0,aa,ba,aa,ba,0.0,5227.128000000026
36,22.0,hard,control,Experiment 1 (no preview),9,hidden,2.0,,,,3.0,ba,ab,ba,ba,1.0,3052.661000000022
36,22.0,hard,control,Experiment 1 (no preview),10,visible,3.0,a,2.0,,2.0,a,b,a,a,1.0,1883.781000000076
36,22.0,hard,control,Experiment 1 (no preview),11,visible,3.0,b,2.0,,1.0,a,b,b,b,1.0,3524.5710000000545
36,22.0,hard,control,Experiment 1 (no preview),12,visible,1.0,a,1.0,,0.0,a,b,a,b,0.0,1452.8510000000242
36,22.0,hard,control,Experiment 1 (no preview),13,hidden,3.0,,,,1.0,ba,bb,bb,bb,1.0,2257.360000000044
36,22.0,hard,control,Experiment 1 (no preview),14,visible,2.0,a,2.0,,2.0,a,b,a,a,1.0,623.1199999999953
36,22.0,hard,control,Experiment 1 (no preview),15,visible,2.0,b,1.0,,0.0,a,b,a,b,0.0,444.8879999998608
36,22.0,hard,control,Experiment 1 (no preview),16,visible,0.0,a,3.0,,0.0,a,b,a,b,0.0,2421.3880000000354
36,22.0,hard,control,Experiment 1 (no preview),17,hidden,1.0,,,,0.0,aa,bb,aa,bb,0.0,3440.112000000023
36,22.0,hard,control,Experiment 1 (no preview),18,hidden,1.0,,,,3.0,ab,ba,ab,ba,0.0,3185.066999999981
36,22.0,hard,control,Experiment 1 (no preview),19,hidden,1.0,,,,2.0,ab,ba,ba,ab,0.0,8698.76199999993
36,22.0,hard,control,Experiment 1 (no preview),20,hidden,2.0,,,,1.0,ba,ab,ab,ab,1.0,4388.96599999984
37,22.0,hard,control,Experiment 1 (no preview),1,hidden,1.0,,,,2.0,ab,ba,ba,ab,0.0,6330.464999998512
37,22.0,hard,control,Experiment 1 (no preview),2,visible,0.0,a,3.0,,0.0,a,b,a,a,1.0,2215.102999999246
37,22.0,hard,control,Experiment 1 (no preview),3,visible,1.0,b,1.0,,3.0,a,b,b,a,0.0,2083.325000000012
37,22.0,hard,control,Experiment 1 (no preview),4,hidden,2.0,,,,3.0,ba,ab,ba,ba,1.0,4755.4819999992615
37,22.0,hard,control,Experiment 1 (no preview),5,visible,1.0,a,1.0,,0.0,a,b,a,b,0.0,4409.379999997793
37,22.0,hard,control,Experiment 1 (no preview),6,hidden,0.0,,,,3.0,aa,ab,ab,aa,0.0,5210.537000000768
37,22.0,hard,control,Experiment 1 (no preview),7,visible,2.0,a,2.0,,0.0,a,b,b,b,1.0,3342.675999999279
37,22.0,hard,control,Experiment 1 (no preview),8,hidden,3.0,,,,3.0,aa,ba,aa,aa,1.0,5704.833999999275
37,22.0,hard,control,Experiment 1 (no preview),9,visible,0.0,b,3.0,,3.0,a,b,b,a,0.0,3202.5200000000186
37,22.0,hard,control,Experiment 1 (no preview),10,hidden,1.0,,,,0.0,aa,bb,aa,bb,0.0,4255.583999997762
37,22.0,hard,control,Experiment 1 (no preview),11,visible,2.0,b,1.0,,0.0,a,b,a,b,0.0,5966.2849999977625
37,22.0,hard,control,Experiment 1 (no preview),12,hidden,3.0,,,,1.0,ba,bb,bb,bb,1.0,6785.625999998534
37,22.0,hard,control,Experiment 1 (no preview),13,visible,2.0,a,2.0,,1.0,a,b,b,b,1.0,771.3680000007735
37,22.0,hard,control,Experiment 1 (no preview),14,visible,3.0,a,2.0,,2.0,a,b,a,a,1.0,5685.837999997777
37,22.0,hard,control,Experiment 1 (no preview),15,hidden,0.0,,,,0.0,aa,bb,aa,bb,0.0,2993.579999997746
