participant_id,fsm_number,fsm_type,test_condition,learning_condition,trial_number,trial_type,state_1,response_1,state_2,response_2,state_3,option_1,option_2,correctResponse,response,response_correct,response_time
40,22.0,hard,explanation,Experiment 1 (no preview),8,hidden,3.0,b,,a,2.0,,,2.0,2,1.0,3375.5410000000265
40,22.0,hard,explanation,Experiment 1 (no preview),9,hidden,1.0,a,,a,0.0,,,2.0,1,0.0,2459.6320000014966
40,22.0,hard,explanation,Experiment 1 (no preview),10,hidden,3.0,b,,b,3.0,,,2.0,1,0.0,5931.760000000766
40,22.0,hard,explanation,Experiment 1 (no preview),11,visible,3.0,a,0.0,b,3.0,,,1.0,2,0.0,4068.466000002984
40,22.0,hard,explanation,Experiment 1 (no preview),12,visible,0.0,a,3.0,a,0.0,,,2.0,1,0.0,5727.272000001511
40,22.0,hard,explanation,Experiment 1 (no preview),13,hidden,2.0,b,,a,1.0,,,1.0,2,0.0,2810.5340000029537
40,22.0,hard,explanation,Experiment 1 (no preview),14,hidden,1.0,b,,b,2.0,,,1.0,2,0.0,3525.6520000029705
40,22.0,hard,explanation,Experiment 1 (no preview),15,hidden,3.0,a,,a,3.0,,,1.0,2,0.0,1306.471000002988
40,22.0,hard,explanation,Experiment 1 (no preview),16,hidden,1.0,b,,a,2.0,,,1.0,2,0.0,667.0930000015069
40,22.0,hard,explanation,Experiment 1 (no preview),17,visible,0.0,b,3.0,b,3.0,,,2.0,1,0.0,1290.4220000014757
40,22.0,hard,explanation,Experiment 1 (no preview),18,visible,3.0,b,2.0,a,2.0,,,2.0,2,1.0,579.187000003003
40,22.0,hard,explanation,Experiment 1 (no preview),19,hidden,0.0,a,,a,0.0,,,2.0,1,0.0,2622.99900000298
40,22.0,hard,explanation,Experiment 1 (no preview),20,hidden,2.0,b,,b,3.0,,,1.0,2,0.0,2090.6780000022263
18,22.0,hard,explanation,Experiment 1 (no preview),1,hidden,1.0,a,,a,0.0,,,2.0,2,1.0,4547.619999999995
18,22.0,hard,explanation,Experiment 1 (no preview),2,visible,3.0,a,2.0,b,1.0,,,2.0,1,0.0,3694.720000000001
18,22.0,hard,explanation,Experiment 1 (no preview),3,hidden,1.0,b,,b,2.0,,,1.0,2,0.0,4110.100000000006
18,22.0,hard,explanation,Experiment 1 (no preview),4,visible,2.0,b,1.0,b,1.0,,,1.0,2,0.0,1282.8399999999965
18,22.0,hard,explanation,Experiment 1 (no preview),5,hidden,2.0,b,,b,3.0,,,1.0,1,1.0,2960.420000000013
18,22.0,hard,explanation,Experiment 1 (no preview),6,visible,1.0,a,0.0,a,3.0,,,1.0,2,0.0,3365.1600000000035
18,22.0,hard,explanation,Experiment 1 (no preview),7,visible,2.0,b,1.0,a,1.0,,,1.0,2,0.0,1082.9400000000023
18,22.0,hard,explanation,Experiment 1 (no preview),8,visible,0.0,a,3.0,a,0.0,,,2.0,2,1.0,1210.9400000000023
18,22.0,hard,explanation,Experiment 1 (no preview),9,hidden,3.0,b,,a,2.0,,,2.0,2,1.0,331.85999999998603
18,22.0,hard,explanation,Experiment 1 (no preview),10,hidden,2.0,a,,b,1.0,,,2.0,1,0.0,1133.0199999999895
18,22.0,hard,explanation,Experiment 1 (no preview),11,visible,1.0,b,3.0,a,2.0,,,1.0,1,1.0,2073.420000000013
18,22.0,hard,explanation,Experiment 1 (no preview),12,visible,3.0,a,0.0,b,3.0,,,1.0,2,0.0,1881.200000000012
18,22.0,hard,explanation,Experiment 1 (no preview),13,visible,0.0,b,3.0,b,3.0,,,2.0,1,0.0,299.5
18,22.0,hard,explanation,Experiment 1 (no preview),14,hidden,2.0,b,,a,1.0,,,1.0,2,0.0,376.320000000007
18,22.0,hard,explanation,Experiment 1 (no preview),15,visible,3.0,b,2.0,a,2.0,,,2.0,1,0.0,941.8400000000256
18,22.0,hard,explanation,Experiment 1 (no preview),16,hidden,1.0,b,,a,2.0,,,1.0,2,0.0,2546.820000000007
18,22.0,hard,explanation,Experiment 1 (no preview),17,hidden,0.0,a,,a,0.0,,,2.0,2,1.0,311.2399999999907
18,22.0,hard,explanation,Experiment 1 (no preview),18,hidden,3.0,b,,b,3.0,,,2.0,2,1.0,359.1599999999744
18,22.0,hard,explanation,Experiment 1 (no preview),19,hidden,3.0,a,,a,3.0,,,1.0,1,1.0,210.52000000001863
