"Started.at","Completed.at","Reviewed.at","Archived.at","Time.taken","Total.approvals","Vision","Age","Sex","Ethnicity.simplified","Country.of.birth","Country.of.residence","Nationality","Language","Student.status","Employment.status","Fluent.languages","openLabId","participant_id"
"2023-01-27T19:15:25.023000Z","2023-01-27T19:23:04.502000Z","2023-01-27T19:27:43.901000","2023-01-27T19:23:04.899054Z",460,111,"Yes",42,"Female","White","United States","United States","United States","English","No","Full-Time","English","Izg3nSMlrw",65
"2023-01-27T19:18:44.605000Z","2023-01-27T19:32:17.959000Z","2023-01-27T19:34:59.780000","2023-01-27T19:32:18.425187Z",814,145,"Yes",23,"Female","Black","Nigeria","United States","Nigeria","English","Yes","Full-Time","English","S5chqRRXn7",66
"2023-01-27T19:25:42.056000Z","2023-01-27T19:35:57.200000Z","2023-01-27T19:37:42.056000","2023-01-27T19:35:58.930760Z",616,6,"Yes",NA,"Male","White","United States","United States","United States","English","No","Not in paid work (e.g. homemaker', 'retired or disabled)","English","biONAHTrqI",67
"2023-01-27T19:28:19.211000Z","2023-01-27T19:35:03.770000Z","2023-01-27T19:35:56.122000","2023-01-27T19:35:04.211051Z",405,37,"Yes",27,"Male","White","United States","United States","United States","English","No","Part-Time","English","9AAeqfxTXr",68
"2023-01-27T19:29:32.989000Z","2023-01-27T19:37:22.940000Z","2023-01-27T19:38:23.775000","2023-01-27T19:37:23.414482Z",470,199,"Yes",18,"Male","Asian","China","United States","China","Chinese","Yes","Unemployed (and job seeking)","English","QTOUeGdXFC",69
"2023-01-27T19:33:10.577000Z","2023-01-27T19:41:57.448000Z","2023-01-27T19:47:18.995000","2023-01-27T19:42:00.232968Z",527,12,"Yes",27,"Male","White","United States","United States","United States","English","No","Part-Time","English","l7hcxBCfw5",70
"2023-01-27T19:38:39.472000Z","2023-01-27T19:47:04.829000Z","2023-01-27T19:52:59.817000","2023-01-27T19:47:05.671536Z",506,77,"Yes",30,"Male","White","United States","United States","United States","English","Yes","DATA_EXPIRED","Arabic, Spanish, English","LEhL4018in",71
"2023-01-27T20:00:18.272000Z","2023-01-27T20:07:30.720000Z","2023-01-27T20:45:26.867000","2023-01-27T20:07:31.139143Z",433,118,"Yes",28,"Female","White","United States","United States","United States","English","Yes","Full-Time","English","NQapYFhOb3",72
"2023-01-27T20:07:14.284000Z","2023-01-27T20:13:30.705000Z","2023-01-27T20:46:07.664000","2023-01-27T20:13:31.189876Z",377,136,"Yes",21,"Female","Asian","Pakistan","United States","Pakistan","Urdu","Yes","Unemployed (and job seeking)","English, Hindi, Urdu","XTdFDNAnYE",73
"2023-01-27T20:18:02.972000Z","2023-01-27T20:24:03.161000Z","2023-01-27T20:58:37.235000","2023-01-27T20:24:03.747815Z",361,141,"Yes",33,"Male","White","United States","United States","United States","English","No","Full-Time","English","Ud7CUGtaxW",74
